"","beta0.1","beta0.2","beta0.3"
"2786",5.21598442889004,4.98511919246163,5.09970847315095
"19600",4.92164940776857,4.98794481765569,5.06936976291924
"24591",4.9456419855018,5.01696114710014,5.02204112301441
"10091",4.90303234507348,4.94481325673274,5.09660222758478
"5697",4.97477857908012,4.87144297042699,5.018505776346
"18679",4.83202137170881,4.95929908741447,5.02000642371401
"3501",4.93427594145953,4.93114181945306,5.0425114840395
"8531",4.95337591277941,4.96399203962289,4.96549203491116
"9692",4.91817747378382,5.04719943185967,5.05323700107423
"10272",4.99367214930206,4.93860324517299,5.22066822831338
"2216",5.08609752930996,5.19732258065771,5.00879036828223
"24047",4.92864161955645,4.74762637965657,5.10866505727574
"20394",4.99668171035031,5.11675405890857,4.97685278172956
"6982",5.08587160802923,4.92278166966398,4.83388117177446
"19408",5.08595910582402,5.00738094527409,5.16570580855932
"12806",4.92495869618999,5.1922223850479,5.06949016302227
"636",5.10979806118933,5.15192497728469,5.13899637281851
"25053",5.17550594934275,4.74118967050542,5.15544268746603
"22850",5.14204118421991,4.92687021991603,5.0883336030874
"13402",4.99320641747701,4.93522315665162,5.01934979175493
"21645",4.98062829061695,4.82396781487606,5.15975829171287
"3388",4.79204206821186,4.95389077811645,5.11020823072122
"14736",5.07539632978308,5.02123374075538,5.12870951511381
"4293",4.99645489746186,5.04371561266943,5.08236292443831
"10292",4.9987306898929,4.95941350489457,5.01906320905212
"5907",4.90913047600404,4.97255481847519,5.0354873400684
"13818",5.22205694864122,5.01005339204509,5.10798497570515
"24355",5.13460015564358,5.06578200365287,5.05810926326944
"655",4.998656909797,4.98923774810076,5.08975583653407
"13665",4.93220293426889,5.05319935356959,5.14309143862185
"23568",4.9954910360661,5.08933854323881,5.04186981216987
"192",5.26378597830581,5.04188986035613,5.12823393638287
"11318",4.89551552781513,5.15390196402709,5.15092260425041
"4146",4.9326216294801,4.89330382240947,5.06210127279807
"10532",4.95480095416371,5.02064029982347,5.23445484316888
